file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
3636799.exe,3930444261,2084050,1215935603,2698759,1216148469,2685231,956724,7332351,5956640047,346190,3926114228,657,87833,11684512769,2089,43.32,36.32,1745525762,1737982000,6999000,1766157601
3888895.exe,3127231002,1644362,814782584,2332628,815073473,2336048,797302,5855648,4643584616,232757,3122091206,383,73737,9574960263,2088,33.67,28.22,1364348980,1360020000,4000000,1385670853
3889984.exe,4873876246,2414383,1835154538,3222349,1834286942,3232582,1187673,9646396,7819009289,316630,4869833391,560,102887,14610701730,1111,56.86,47.69,2296289146,2292294000,2999000,2317830934
3890693.exe,2826850503,1579999,813453651,2300238,813614603,2299783,698967,5563568,4401793001,209334,2827438171,353,74816,9483192339,2085,32.39,27.15,1292638434,1287894000,3999000,1312711300
3891304.exe,6329780807,3684490,2638520095,40629568,2638633720,40591216,1626693,12785793,11002385560,443201,6325372679,811,186822,16678700837,2125,81.83,68.64,3228986482,3221241000,6996000,3250000487
4000875.exe,1821553873,1501613,212109696,2043906,212083487,2016010,627102,4412256,3401816152,237492,1817136114,404,63411,5867490491,2084,24.11,20.03,1003051247,995671000,6997000,1023645594
4003727.exe,3565641921,1770275,1229488095,2605835,1229265442,2596815,891782,6882832,5539518201,224632,3564440003,269,71629,9897767923,1108,39.92,33.42,1623673880,1618313000,4997000,1643533570
4091662.exe,2623985402,1652275,616543494,2083275,616284392,2004307,682154,4529563,3337645428,211578,2628060972,601,57982,6798085023,2087,24.79,20.78,980111553,972630000,6990000,1000302474
4162675.exe,4974405093,2503256,1835462656,3330956,1834774231,3310896,1189530,9908295,8065152000,316126,4970341172,881,110549,14009637727,1106,60.5,50.82,2362007743,2357363000,3998000,2383127803
420703.exe,4369265222,2247379,1632977343,3092845,1632487204,3082371,1120357,8980323,7448404327,281170,4368776502,525,98146,12200623669,1106,55.18,46.25,2179674978,2175115000,4000000,2199934373
4225221.exe,1523943164,1160023,210825817,1835285,210723662,1826794,504636,3517879,2700269369,161634,1521528838,240,50744,5666327594,2086,19.15,15.95,796433703,790097000,6000000,816499915
4236232.exe,1619626388,1344817,708966656,2052812,708812365,2068205,618822,3878065,2892335186,191112,1618389308,599,71967,4767948676,3007,20.58,17.18,848099854,841692000,5997000,868647512
423802.exe,1924056078,1969589,214344077,2504597,214167116,2502263,883401,6571129,5154604183,263562,1921961917,243,71440,3475164068,2081,37.51,31.45,1513400347,1506870000,5999000,1534566876
4238463.exe,1818908123,1219722,211383677,1844620,211392968,1842007,542856,3622281,2707582562,182885,1819892174,8,67334,5661636401,4036,19.34,16.14,797635233,791263000,6001000,815579736
4262237.exe,310441117,1118915,207505637,1629653,207995883,1616463,435967,2762482,1969929404,166624,310962762,194,48662,2047510161,2088,12.74,10.42,580664784,574435000,5994000,601233579
4313247.exe,1620685506,1214204,709372076,2071544,708527970,2062838,525907,3849012,2910574408,162185,1618153851,323,52086,4962719298,1538,20.66,17.23,856204634,851945000,3995000,876829833
4356413.exe,3132109702,1411139,612692581,2182186,612838256,2185050,715958,5150144,4150110719,188954,3126883590,522,56705,8482086350,1111,30.1,25.21,1218447210,1213580000,3998000,1239694861
