@relation problema
@attribute 'pkg' real
@attribute 'cores' real
@attribute 'ram' real
@attribute 'gpu' real
@attribute 'psys' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
2.59,2.52,0.14,0.00,6.99,236478784,230393000,5984000,3
4.80,4.65,0.23,0.00,12.67,420287527,346086000,74018000,3
2.74,2.66,0.14,0.00,7.24,236986294,230843000,5995000,3
4.18,4.05,0.21,0.00,11.11,373713615,316604000,56928000,3
2.87,2.77,0.18,0.00,7.63,255059777,117062000,16146000,4
3.74,3.64,0.22,0.00,9.24,328649239,324597000,3995000,4
3.48,3.37,0.20,0.00,8.89,288745640,195239000,8430000,4
3.45,3.33,0.22,0.00,8.76,297048613,198118000,13983000,4
3.55,3.43,0.21,0.00,9.09,295373580,204677000,5990000,4
2.80,2.71,0.17,0.00,7.28,248599412,241617000,6988000,4
2.65,2.56,0.17,0.00,6.64,226674498,134384000,7165000,4
3.42,3.31,0.21,0.00,8.68,287605251,190062000,13004000,4
2.37,2.29,0.17,0.00,6.09,214594112,207496000,6983000,4
3.43,3.32,0.20,0.00,8.79,288003007,188820000,13986000,4
3.47,3.36,0.20,0.00,8.91,290882105,198493000,7017000,4
2.63,2.54,0.17,0.00,6.70,224785641,129912000,9993000,4
2.61,2.52,0.17,0.00,6.75,225514634,129632000,9971000,4
3.41,3.30,0.20,0.00,8.75,285509553,188687000,10981000,4
2.88,2.78,0.18,0.00,7.40,255858540,247791000,7993000,4
2.65,2.57,0.18,0.00,6.89,230645931,138447000,7022000,4
2.69,2.61,0.18,0.00,7.09,238496447,142835000,9988000,4
2.61,2.51,0.17,0.00,6.88,227093992,130790000,10982000,4
2.57,2.49,0.17,0.00,6.79,225187351,127597000,12959000,4
3.41,3.30,0.20,0.00,8.86,288395057,195388000,8015000,4
2.60,2.52,0.17,0.00,6.87,227055314,126857000,14983000,4
4.64,4.49,0.28,0.00,11.87,400041532,305825000,8994000,4
2.62,2.52,0.17,0.00,6.80,227414854,133755000,9051000,4
3.95,3.83,0.23,0.00,10.28,339415565,242904000,11995000,4
2.77,2.67,0.18,0.00,7.42,250253913,152743000,11979000,4
2.54,2.46,0.17,0.00,6.83,225868224,129406000,11034000,4
2.26,2.18,0.16,0.00,6.14,214601919,209559000,5013000,4
3.55,3.44,0.21,0.00,9.11,301113712,202761000,13983000,4
2.67,2.58,0.17,0.00,7.07,234820547,139556000,9968000,4
2.69,2.59,0.17,0.00,7.08,233035201,136002000,12000000,4
2.77,2.67,0.18,0.00,7.27,239669328,148068000,7003000,4
3.19,3.08,0.20,0.00,8.40,281570631,275560000,5990000,4
6.47,6.25,0.42,0.00,17.41,579667487,475685000,18664000,4
2.71,2.61,0.18,0.00,7.19,237353255,142108000,10007000,4
2.63,2.54,0.17,0.00,7.13,239293170,146729000,7034000,4
3.43,3.32,0.21,0.00,8.85,289793325,194819000,9990000,4
3.16,3.06,0.20,0.00,8.31,274354749,175623000,13046000,4
3.15,3.05,0.19,0.00,8.17,269895810,263855000,5974000,4
2.75,2.65,0.17,0.00,7.26,237451289,142891000,9156000,4
2.67,2.58,0.17,0.00,7.09,242142487,240106000,2000000,4
3.35,3.25,0.20,0.00,8.75,286321279,193426000,7976000,4
3.95,3.82,0.26,0.00,10.19,351928316,255633000,11495000,4
