@relation problema
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'page-faults' real
@attribute 'iTLB-load-misses' real
@attribute 'iTLB-loads' real
@attribute 'instructions' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
5693954,134596199,81928093,805247,82019819,795704,1265200,7930473,331756159,111773,141560465,2869,3581,17623,483145817,2
431585,167788605,145079620,99808,137938968,946596,38731,1215912,252362098,6649,181454215,517,1784,12213,527023421,2
392422,76224552,48003760,2194737,49485739,1959308,141631,1649679,123696836,5187,81003033,914,2789,1883,322995631,2
259062,73313991,47202644,2113128,47762427,2080751,90054,1146766,123178693,5457,73969111,526,2571,5321,305134060,2
265375,82512095,50619137,2111120,50605049,2093484,93303,1749267,125679666,5249,75843991,917,2513,1731,307935986,2
359280,79284600,47855894,1973094,47447419,1915396,61102,1715987,128211509,5529,76628833,918,2481,2544,321370438,2
424246,167741190,145893411,100582,140832372,817486,53078,1170261,251683690,6365,183281808,519,2276,9893,525059034,2
921741,176429580,147130261,458545,147758862,359813,246479,2194878,273419567,12480,210090045,950,3294,16270,578929489,2
471845,167200132,144628520,103755,138667943,889055,65310,1220571,252280891,6973,181077391,517,1770,11227,523846993,2
379057,77577670,49868326,1802103,49364419,1822045,56167,906533,130377454,5270,69599020,524,3716,6538,301470366,2
1041835,165732722,137309250,104092,137221400,652748,139407,1431919,246380424,8095,182129020,908,2894,9972,515221597,2
616077,96422059,53710532,1847651,53289737,1972141,87761,1483932,144475814,4068,76397293,917,2286,2039,301324918,2
400640,78813598,45511072,2020724,46294892,2046506,62749,1229368,130896231,8061,71815890,1012,4138,13603,296434460,2
477981,74705954,47405905,1995341,47702404,1939178,102303,1788492,129167079,5765,77225344,915,2740,3139,313429792,2
566899,163912875,139651171,103432,140055677,103352,69256,1335204,248366786,8694,194802779,1003,3127,12134,525260484,2
1058003,166874720,145836496,126985,143740100,122189,159799,1879210,264358575,11576,199182943,1907,4045,19729,527012974,2
189801,78490359,46798358,1974733,47083144,1964516,48396,1162585,127906660,5397,74403958,525,2694,2639,314973147,2
263622,69307446,46435611,2178767,47670316,2016646,84246,1100107,125224077,5614,77417636,524,3101,5805,303097494,2
382821,83253413,48774155,2087928,49223877,2119484,39708,1036486,135592877,6423,72882137,528,4085,4210,355510565,2
8092198,221685368,182293523,838618,179382770,836767,1272892,8562648,501465116,174000,240661205,2666,6470,25218,688386062,2
462184,166626381,138914856,96503,139075183,127353,58375,1181733,248811896,7029,190171049,518,1776,12980,520209001,2
538345,170599307,140037652,96169,138027484,772219,47598,1161617,244604232,6467,182534840,520,2228,11163,536219683,2
328301,74149540,50104698,1851768,48971061,1839403,71379,1028407,131201121,6162,69855862,524,3767,6178,302490281,2
364022,70478947,50334707,1843848,50305085,1803782,74075,1192891,131540596,8589,72782297,523,2568,3020,307720162,2
486841,168667835,142052557,104378,140775703,705032,52852,1165405,246107093,6366,184032602,520,1732,11715,522023198,2
160987,85095381,55029764,2104600,54768664,2190215,32527,923411,142432706,3686,91975232,335,2303,1853,299954151,2
562730,168873234,142807122,382494,132013422,1165346,72932,1260655,247382909,6420,174725365,521,2240,8421,531514521,2
1019765,162503925,134183662,101699,135988682,106111,128761,1064941,246772017,8565,206205807,909,2670,14560,531270854,2
1104555,163029847,143649008,116259,142937535,115963,125120,1656703,261372110,11108,200010663,1905,3197,18421,525989493,2
612003,183580503,120388341,2295880,119686055,2427886,47564,1936993,247843670,13616,198197203,910,6875,11275,583920262,2
256057,69963918,46189741,2205952,47984258,2079405,90590,1120346,125313446,5561,76049969,526,4445,6347,303573259,2
397498,74723322,50302446,1801829,49634588,1812264,59234,886001,133116394,5398,70778663,524,2388,5156,306224011,2
216356,75222764,50390881,2110075,50818824,2116702,112028,1261585,128714050,8997,75335666,522,2877,2508,319222373,2
8868157,222563692,187222260,1530018,173257181,2163259,1328078,8958855,489445059,198462,224969026,2670,6682,43800,682315685,2
559916,165044315,140661034,127519,140755595,165283,114878,1427993,251695366,9642,190490556,1005,4419,12108,532426245,2
868062,167668960,144262009,130866,141600050,790963,155516,1620005,249520631,6588,184952436,909,2218,7433,535933661,2
555221,169290343,141614319,123042,134226610,1099512,38436,1185866,246026943,6349,177861734,517,1978,9506,526582527,2
878566,169111671,144851384,137597,144126569,646462,131793,1566059,251934550,7084,187553444,911,1887,4037,537705265,2
