file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
2317321.exe,115107920,508686,80951949,1538110,79251468,1544687,115886,524303,179843511,32452,110347500,28,5413,371254743,525,1.27,1.04,56570808,52257000,4019000,77363342
2473888.exe,443255831,999118,271896294,2309760,271118854,2301376,201264,1111889,621486930,60436,447243967,26,16463,1274637101,910,4.35,3.61,185814033,182420000,3006000,206024696
2557813.exe,120426874,672611,82460279,1705187,82555834,1708387,121955,556756,199511034,32495,133078223,5,11068,414501460,1043,1.4,1.16,58489296,55175000,3009000,79679228
2649544.exe,122987544,478605,84574132,1694657,82496954,1705436,113428,515458,195173127,36706,120079891,117,7029,427295651,526,1.35,1.11,60798992,58453000,1948000,82085445
2700229.exe,423942437,675650,264994943,2194885,264027631,2082975,177643,1055659,599526851,55052,422768567,325,15109,1232652762,520,4.24,3.53,178888937,176695000,1996000,199362527
2870679.exe,115487012,863824,80282665,1550382,77960253,1557873,156452,591192,187850963,53067,113833160,27,4549,380351344,915,1.31,1.08,56857175,54296000,2010000,77493270
2876767.exe,117932237,641349,80125165,1552830,79330840,1555453,127477,593860,181016089,37970,114510060,0,7572,377435361,1039,1.32,1.09,55348578,51130000,4010000,75436985
2882080.exe,93414920,554477,93939752,1883728,93295503,1772936,94161,519252,200493030,41899,94761801,57,10028,429136710,522,1.42,1.16,62703891,60384000,2012000,84814952
2892760.exe,95231425,558430,99268813,1741908,100469544,1576214,106448,512416,211162448,36575,96396672,53,11459,433194376,523,1.48,1.21,66062247,60717000,4976000,87231980
2952391.exe,428112076,547072,267002159,2053690,267798753,2033403,179633,1030648,590653181,58986,426462715,73,13802,1239241242,519,4.2,3.51,172973494,171630000,1003000,192828000
2956436.exe,116411624,858311,80735409,1571186,77855207,1574632,155958,592523,182086813,52348,110236430,141,5708,374855620,916,1.3,1.07,56703747,50303000,6036000,77485771
2961485.exe,457284235,7488518,287322913,1499311,288501220,1511988,1007180,6237827,857805770,1198885,463784011,1369,57157,1358245735,2474,6.02,4.98,255444608,247918000,6997000,276012582
3052100.exe,423713174,654960,264653492,2180098,263601744,2066378,187396,1020520,598557979,55444,423156333,400,14110,1233674043,517,4.27,3.55,178490736,174955000,2999000,199525431
