@relation problema-weka.filters.unsupervised.attribute.Remove-R3-5

@attribute pkg numeric
@attribute cores numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
2.5,2.01,122145264,114107000,8007000,25
1.2,0.93,65699074,57507000,7932000,26
3.43,2.78,161331240,154299000,7013000,26
3.06,2.4,159734903,149757000,9983000,26
1.35,1.07,68815625,59810000,8971000,26
1.43,1.13,72458711,62535000,9926000,26
1.18,0.92,64954803,59968000,4997000,26
2.92,2.34,142977826,136968000,5998000,26
3.23,2.6,156309232,149325000,6968000,26
0.24,0.18,13800125,9842000,3936000,26
1.39,1.1,70073247,63124000,6904000,26
3.01,2.43,144247165,140116000,4003000,26
1.25,1,62240312,57631000,3974000,26
1.34,1.06,69933082,63934000,5993000,26
1.4,1.11,71021844,64993000,5999000,26
1.51,1.19,75339551,71389000,3966000,26
1.39,1.08,76531527,72482000,4026000,26
3.02,2.45,141406209,136335000,5012000,26
3.03,2.46,139632288,132566000,6977000,26
2.97,2.38,140573995,136589000,3988000,26
1.36,1.08,68999671,64048000,5003000,26
1.99,1.58,101739917,91415000,10045000,27
1.93,1.55,94618047,84616000,9954000,27
1.99,1.59,97006442,88967000,7997000,27
1.93,1.54,96276243,89195000,7015000,27
2.13,1.72,101531765,96352000,5018000,27
1.98,1.59,98284650,93231000,5012000,27
6.54,5.47,253543537,250534000,3006000,27
2.02,1.6,102979579,93869000,8987000,27
1.93,1.52,100194158,95256000,4961000,27
1.95,1.55,97673392,92640000,5034000,27
1.96,1.57,94783392,89737000,4985000,27
1.86,1.46,97586466,93537000,3980000,27
1.91,1.54,92082946,87998000,3999000,27
5.04,4.11,231215984,227021000,4000000,27
2.05,1.62,103314453,96280000,7020000,27
2.12,1.69,106201799,95155000,11017000,27
1.88,1.48,97527601,92525000,4974000,27
1.9,1.51,95754347,88761000,6981000,27
4.89,3.98,227368840,224240000,3003000,27
5.13,4.16,239417702,230443000,8978000,27
3.58,2.94,162123882,158628000,1995000,28
6.35,5.16,300765487,295695000,4994000,28
2.89,2.32,143207617,138239000,4972000,28
3.47,2.78,172398254,167331000,5009000,28
10.78,8.61,544427743,542446000,2001000,28
4.11,3.32,196541892,168539000,27923000,28
4.47,3.65,206628679,182661000,23955000,28
4.9,4.01,224471671,195358000,29053000,28
2.48,2.02,116014946,114007000,2000000,28
3.94,3.17,190927477,162933000,27988000,28
3.4,2.78,154733638,151726000,2994000,28
3.32,2.71,151291110,147327000,3981000,28
3.38,2.78,151040311,149788000,998000,28
1.59,1.28,76860365,75915000,998000,28
2.86,2.31,135229967,132158000,3003000,28
2.86,2.3,139945005,136970000,2977000,28
3.57,2.9,168688982,135970000,32751000,28
4.49,3.67,204268431,175169000,29028000,28
2.85,2.31,129128119,125037000,4001000,28
3.89,3.2,173756819,149737000,23957000,28
0.9,0.69,49981028,41707000,7944000,29
1.07,0.83,58561986,54603000,3971000,29
0.85,0.64,49880403,40790000,8953000,29
0.57,0.43,35928526,29906000,5981000,29
3.07,2.47,150901201,100938000,49969000,29
0.6,0.46,34802781,28872000,5973000,29
0.62,0.48,33947203,28933000,4988000,29
0.63,0.49,35265817,30223000,5037000,29
1.31,1.02,69753125,51817000,17936000,29
4.15,3.29,196574211,99762000,96769000,29
4.87,3.93,230266440,184240000,46060000,29
3.37,2.7,164290048,109524000,54762000,29
0.87,0.69,45269843,39221000,6034000,29
0.6,0.47,33794496,31707000,2045000,29
3.29,2.63,162042297,115026000,47011000,29
0.84,0.66,45509878,38410000,7075000,29
1.47,1.17,73843380,65865000,7983000,29
0.58,0.45,33025380,25286000,7780000,29
1.07,0.85,54588467,51620000,2978000,29
1.08,0.85,55988066,50003000,6000000,29
3.17,2.55,155081639,142903000,11908000,30
3.3,2.67,156390712,147390000,8962000,30
