@relation 'problema-weka.filters.unsupervised.attribute.Remove-R3,5'

@attribute pkg numeric
@attribute cores numeric
@attribute gpu numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
4.31,3.47,0.07,202822668,193790000,8990000,3
6.5,5.25,0.1,306645376,251700000,54934000,3
6.98,5.64,0.11,328564231,284588000,43936000,3
2.48,1.97,0.04,121889904,113942000,7926000,3
4.82,3.87,0.08,229704063,181627000,47901000,3
2.25,1.78,0.04,113361746,105307000,8023000,3
6.98,5.65,0.11,325163338,280063000,45010000,3
2.47,1.97,0.04,120156578,112171000,7941000,3
4.79,3.74,0.09,255399988,99861000,8987000,4
2.75,2.16,0.05,142259407,136257000,6011000,4
6.53,5.25,0.11,309287800,178928000,9996000,4
6.26,5,0.1,304948357,175272000,11017000,4
4.5,3.59,0.08,220286641,90014000,13829000,4
2.59,2.04,0.04,131285900,125179000,6008000,4
4.45,3.52,0.08,224463302,87032000,18178000,4
7.13,5.76,0.11,332144996,207628000,13575000,4
2.84,2.24,0.05,144485016,134449000,9959000,4
6.91,5.52,0.11,336882166,202952000,15291000,4
6.33,5.07,0.1,307653385,175638000,13042000,4
6.28,5.03,0.1,302415692,171750000,11191000,4
4.43,3.51,0.08,221634206,93656000,8785000,4
6.44,5.18,0.1,305766519,180375000,8016000,4
4.71,3.74,0.08,231877782,101544000,12675000,4
4.6,3.67,0.08,222649829,89818000,14969000,4
4.37,3.46,0.07,218714707,85739000,14291000,4
4.48,3.55,0.08,223826265,95646000,10068000,4
4.54,3.59,0.08,227840743,98704000,11079000,4
6.44,5.17,0.1,308262448,177645000,10978000,4
5.08,4.02,0.09,253364175,123271000,12026000,4
7.72,6.18,0.13,373014182,236549000,17579000,4
4.52,3.59,0.08,224347939,96014000,10001000,4
6.56,5.26,0.11,317233042,185947000,11996000,4
6.59,5.3,0.11,311444939,177536000,14802000,4
4.54,3.61,0.08,224912753,95723000,10076000,4
2.6,2.05,0.05,132902583,123895000,8992000,4
5.06,4.06,0.08,237768014,220589000,17045000,4
4.46,3.59,0.07,210290635,88518000,11192000,4
4.99,3.94,0.09,249625840,122642000,8042000,4
4.4,3.5,0.07,217973449,85280000,14046000,4
4.52,3.59,0.08,223800433,92280000,13039000,4
4.67,3.74,0.08,223338394,220283000,3003000,4
4.53,3.63,0.07,218745624,213739000,4993000,4
8.42,6.68,0.14,414722421,277347000,18087000,4
4.46,3.54,0.07,217964069,81526000,18126000,4
4.35,3.45,0.07,216728514,81767000,15954000,4
6.51,5.23,0.1,307586158,173023000,16002000,4
4.59,3.65,0.08,225429333,93362000,12911000,4
4.74,3.79,0.08,232786974,97714000,15776000,4
4.57,3.68,0.07,215566162,211480000,4009000,4
4.39,3.48,0.07,216468479,87133000,10015000,4
2.4,1.88,0.04,122661047,115694000,6981000,4
4.65,3.7,0.08,227343250,94093000,13860000,4
6.32,5.07,0.1,301099390,171659000,11286000,4
4.41,3.53,0.07,211397993,204377000,7012000,4
3.19,2.5,0.05,160998625,149969000,10997000,4
4.75,3.83,0.07,219051597,95486000,12061000,4
4.56,3.64,0.08,219997200,86164000,15521000,4
4.39,3.46,0.08,222170141,98467000,5749000,4
5.25,4.16,0.09,259740411,127198000,14742000,4
4.23,3.35,0.07,211732383,82280000,11895000,4
2.84,2.23,0.05,144378521,136321000,7960000,4
5.3,4.27,0.08,246555443,123913000,10074000,4
6.18,4.97,0.1,292591931,167029000,6912000,4
6.41,5.15,0.1,304302585,171128000,14923000,4
2.79,2.19,0.05,140959975,128927000,11993000,4
5.38,4.25,0.09,265706484,134026000,12870000,4
4.57,3.63,0.08,225127240,93208000,12890000,4
6.4,5.13,0.1,304619239,181226000,6165000,4
10.91,8.74,0.18,517840566,382500000,14980000,4
4.1,3.25,0.07,201677138,71755000,12127000,4
7.86,6.32,0.13,370839508,238025000,14060000,4
2.86,2.24,0.05,144633378,133646000,10970000,4
4.44,3.52,0.07,218211396,87433000,13064000,4
4.34,3.45,0.07,212632799,81242000,12961000,4
3.22,2.54,0.05,158749552,147743000,10980000,4
4.57,3.67,0.07,214880288,93506000,10163000,4
4.47,3.55,0.07,219958268,90307000,11037000,4
6.36,5.11,0.1,299063522,167968000,12069000,4
4.43,3.52,0.07,217771411,83966000,15993000,4
4.52,3.58,0.08,223080576,97784000,6278000,4
2.6,2.03,0.05,135424880,131271000,4008000,4
6.55,5.27,0.11,309427304,177125000,12829000,4
6.47,5.2,0.1,305179027,177012000,9051000,4
4.4,3.51,0.07,212670318,207680000,4992000,4
3.11,2.45,0.05,154540097,141546000,12958000,4
2.76,2.19,0.05,133882092,124847000,8989000,4
6.47,5.2,0.1,304517249,174384000,11024000,4
4.55,3.59,0.08,226187669,96089000,12011000,4
4.7,3.64,0.09,255871705,94077000,8967000,5
6.33,5.07,0.1,306043610,171590000,16032000,5
4.66,3.7,0.08,232684477,89312000,25616000,5
6.22,4.98,0.1,303728471,177263000,8011000,5
6.49,5.2,0.11,313362061,181223000,12313000,5
4.42,3.5,0.08,220504839,92423000,10046000,5
3.71,2.9,0.07,193984060,181988000,11999000,5
6.42,5.16,0.1,305137341,173165000,14094000,5
4.58,3.64,0.08,227567944,102179000,6867000,5
4.48,3.56,0.08,223167793,92088000,11131000,5
4.4,3.48,0.08,222096997,88483000,14079000,5
6.42,5.14,0.11,310332563,172601000,18956000,5
3.79,3,0.06,188918513,179762000,8988000,5
5.14,4.09,0.09,253588429,111370000,23925000,5
4.44,3.53,0.07,220185873,89164000,13654000,5
4.44,3.52,0.08,220541538,86497000,15086000,5
4.72,3.74,0.08,237384564,101128000,17522000,5
4.41,3.5,0.08,220490327,88341000,13050000,5
6.07,4.86,0.1,287408780,277372000,9977000,5
5.52,4.41,0.09,266811044,261678000,4993000,5
4.48,3.55,0.08,222439052,93446000,10048000,5
5.55,4.44,0.09,268775029,257776000,10990000,5
4.45,3.53,0.08,221595291,91151000,12020000,5
3.53,2.78,0.06,178978581,170902000,7948000,5
4.5,3.59,0.07,218240207,91808000,10088000,5
6.47,5.19,0.11,309863998,176825000,14065000,5
5.06,4,0.09,252894287,121326000,12928000,5
5.83,4.61,0.1,288746106,155102000,15598000,5
4.5,3.56,0.08,226380484,94728000,13100000,5
5.34,4.27,0.09,257659592,249490000,8015000,5
5.73,4.58,0.09,276192320,268139000,8004000,5
6.41,5.14,0.1,306748089,175443000,11962000,5
5.23,4.15,0.09,259809642,128755000,11977000,5
4.49,3.57,0.07,219798676,92693000,8513000,5
4.81,3.83,0.08,235866242,94251000,22008000,5
4.43,3.51,0.08,220686002,90799000,11280000,5
4.41,3.5,0.07,218205878,89229000,10280000,5
3.34,2.63,0.06,169780037,163723000,6026000,5
6.35,5.09,0.1,303837448,174969000,10055000,5
4.53,3.59,0.08,224440588,95279000,10029000,5
4.57,3.64,0.08,224649410,88658000,18340000,5
