@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-psys/' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'power/energy-ram/' real
@attribute 'power/energy-gpu/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
252793057,298172,155881214,662318,155898387,664601,156317,2178160,505892013,114982,254484481,8638,105181,774067815,130,4.18,1.62,1.57,0.07,0.0,137161651,131977000,4999000,151363150,0
72539295,171729,46527073,183373,46427684,180265,139991,885535,98081243,5337,73534317,2892,1594,256055696,135,0.85,0.35,0.33,0.02,0.0,27034189,25845000,994000,41217315,0
66968363,218838,43731541,180734,43906416,182453,141622,783979,98386966,3357,71100574,4638,1560,241050911,134,0.83,0.34,0.32,0.01,0.0,26336173,24108000,2009000,40408554,0
252302971,288451,155483808,632956,155759997,627744,139837,2164440,501441915,115443,252950582,8577,105700,772675471,128,4.15,1.63,1.58,0.07,0.0,135162291,124883000,10071000,149141719,0
95473356,273852,63325864,430580,63478964,427602,154602,1660401,342905116,111269,95927075,50269,129348,332282854,135,2.75,1.07,1.03,0.05,0.0,93036068,60873000,31933000,107181116,0
251946979,295965,155901706,683045,155759516,679728,209537,2217809,506167345,114225,253088569,8408,105322,772549629,129,4.19,1.67,1.62,0.07,0.0,136384578,127008000,9000000,150566143,0
248599406,284088,153674250,683996,153913509,679707,137291,2100781,499740211,114375,248737118,10677,105293,762949414,131,4.19,1.63,1.59,0.07,0.0,134993435,130751000,4023000,149066211,0
241678145,298726,150797227,659074,150869733,660221,135503,2137932,491424092,114646,243126879,7092,105127,748631215,129,4.06,1.62,1.57,0.07,0.0,133062514,111841000,20970000,147188676,0
249219240,299207,155414024,709838,155478875,708956,142245,2114736,504319178,114148,250936700,10250,105337,772768561,130,4.28,1.66,1.61,0.07,0.0,136800106,122598000,13954000,151060897,0
251338529,304255,156189017,720897,156210303,719484,154394,2134398,508154082,114237,252821009,11110,105412,778955997,129,4.32,1.66,1.62,0.07,0.0,137537848,127305000,10024000,151518106,0
251498853,323984,155883455,689980,155941600,690160,174060,2222035,510824631,114741,253458629,126423,111906,770899455,129,4.21,1.64,1.6,0.07,0.0,137552835,123286000,14032000,151465257,0
252677336,305373,155861745,656414,155778929,659158,139900,2121480,508501512,115222,254612661,97195,105681,776262975,129,4.34,1.68,1.62,0.07,0.0,137059435,125862000,10987000,151171785,0
96116612,283444,63688973,420558,63831622,420376,149955,1636396,342232712,111852,97067975,6227,105398,334224870,136,2.73,1.05,1.01,0.05,0.0,92421255,64097000,28042000,106674578,0
252878000,261262,155459613,668827,155361660,664203,137548,2050548,503636886,114576,253789474,36790,105503,772192222,131,4.22,1.64,1.59,0.07,0.0,136513534,114246000,22047000,150878847,0
92681127,285342,62631942,421309,62480172,417120,138544,1652000,336838861,110788,92838385,38905,104014,324286140,134,2.7,1.03,1.0,0.05,0.0,90967953,56405000,34245000,104978756,0
253207738,797306,156194075,683630,156186621,683423,150470,2248382,509925958,115959,255293754,16154,106132,776951887,130,4.21,1.66,1.62,0.07,0.0,137409560,118100000,19016000,151458686,0
251298949,299512,155486952,630773,155486348,630448,146888,2068958,510301229,114628,253497380,306906,105244,770887640,129,4.39,1.69,1.64,0.07,0.0,137953253,117800000,19966000,151996312,0
94496663,248396,62839682,414940,63034358,413387,133549,1578297,338098874,110561,94754793,21501,104148,328349404,135,2.75,1.04,1.01,0.05,0.0,91694738,64298000,27125000,105844675,0
65684802,223476,43277178,179895,43377936,180750,135676,784871,94228235,3218,69051660,5128,1694,234467132,137,0.79,0.33,0.32,0.01,0.0,25533957,24249000,1010000,39660311,0
251836968,303012,155528912,668425,155495248,666461,147811,2094322,503437001,113828,253062810,34371,105340,771792992,128,4.2,1.67,1.62,0.07,0.0,136276920,99025000,37009000,150465862,0
247022945,288050,152697624,621024,152916331,620609,138814,2026026,495436422,114298,247660467,17748,105392,759800618,129,4.14,1.63,1.58,0.07,0.0,134051735,110837000,22966000,148152739,0
65891170,217376,43677574,183741,43631395,185153,143123,796966,98752909,3231,69537193,4983,1602,236072770,136,0.83,0.32,0.31,0.01,0.0,26707243,25415000,1016000,40741465,0
251944658,302493,155530979,681305,155578402,680762,167899,2134684,505630146,115065,253683551,8203,106523,772998785,129,4.23,1.62,1.58,0.07,0.0,137610119,106517000,30860000,151815376,0
251235811,307169,155574871,641413,155472835,641121,151668,2193104,511740764,114927,253795780,288413,130771,772085240,127,4.31,1.68,1.64,0.07,0.0,138148032,106191000,31758000,152286834,0
45343955,267511,6351504,188347,5971396,180601,113629,2070920,509436431,12351,45176479,2033,4031,128139286,133,3.79,1.45,1.41,0.07,0.0,137526746,136180000,1001000,151739293,1
